"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bcc72_129_thumb.jpg","1972",1250,1250,3,24,0.024086,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,32,0.032449,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,48,0.034515,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,64,0.03527,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,4,0.002095,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,8,0.0024,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,12,0.0024,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,16,0.0024,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,20,0.002527,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,24,0.004913,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,32,0.03227,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,48,0.037102,0
"bcc73_019_thumb.jpg","1972",1250,1250,3,64,0.03809,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,8,0,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,12,0,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,16,0,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,20,3.3e-05,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,24,0.001476,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,32,0.032359,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,48,0.036991,0
"bcc73_020_thumb.jpg","1972",1250,1250,3,64,0.037846,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,8,0,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,12,0,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,16,0,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,20,8e-06,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,24,0.001161,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,32,0.032799,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,48,0.037173,0
"bcc73_021_thumb.jpg","1972",1250,1250,3,64,0.038049,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,8,0,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,12,0,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,16,0,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,20,1.7e-05,0
