airp_id,arm,run_id,stratum,holdout,scale_n,focal_length,flying_height,relief_coarse,bearing,ref_ok,ref_agl,ref_area,ref_elev,ref_sd,ref_range,ref_grad,ref_n,nominal_area
633591,native,s2_10,scale_coarse/relief_q2,FALSE,35000,153,7926,102.79,268.77,TRUE,6714.24,100638171,1211.814,148.972,862.97,0.0279579,106196,64016001
639647,native,s1_8,scale_coarse/relief_q1,FALSE,35000,153,7921,41.75,NA,TRUE,6648.36,98672929,1272.563,49.5,328.3,0.0110853,107598,64016001
654481,native,s4_8,scale_coarse/relief_q4,FALSE,35000,153,6702,370.99,85.97,TRUE,6107.94,83283613,591.188,425.309,1760.08,0.116997,92202,64016001
657887,native,s7_8,scale_fine/relief_q3,FALSE,15000,305,5374,159.83,89.32,TRUE,4776.27,12815357,597.425,185.533,860.98,0.122572,14128,11758041
670615,native,s11_7,scale_mid/relief_q3,FALSE,30000,153,5944,227.84,NA,TRUE,5090.61,57850895,853.011,238.853,782.74,0.0845992,63706,47032164
674886,native,s12_1,scale_mid/relief_q4,TRUE,30000,153,6858,340.62,82.23,TRUE,5832.68,75946050,1018.507,375.716,1451.13,0.0919615,83901,47032164
764203,native,s10_3,scale_mid/relief_q2,TRUE,16000,305,5944,81.25,265.42,TRUE,4607.93,11927893,1336.08,37.854,182.74,0.0272571,12965,13378038
768661,native,s3_5,scale_coarse/relief_q3,FALSE,32000,153,6096,178.24,176.54,TRUE,5310.57,62958223,785.421,196.733,940.58,0.0434988,69526,53512151
779553,native,s3_6,scale_coarse/relief_q3,FALSE,40000,153,7315,174.41,171.76,TRUE,6217.05,86285710,1097.932,236.351,1078,0.0527225,94644,83612736
781945,native,s12_8,scale_mid/relief_q4,FALSE,16000,305,6096,237.03,85.78,TRUE,4386.25,10807862,1709.978,301.765,1296.18,0.281603,11907,13378038
789991,native,s10_5,scale_mid/relief_q2,FALSE,20000,305,7010,97.71,90.96,TRUE,5947.02,19867849,1062.984,34.245,201.66,0.0215487,21279,20903184
793105,native,s4_5,scale_coarse/relief_q4,FALSE,40000,153,8077,296.36,266.8,TRUE,6690.29,99921679,1386.721,349.125,1389.08,0.0911695,107311,83612736
793133,native,s3_4,scale_coarse/relief_q3,TRUE,40000,153,8077,147.61,NA,TRUE,7324.67,119769513,752.031,162.836,792.87,0.0406714,128589,83612736
805476,native,s9_8,scale_mid/relief_q1,FALSE,20000,305,7010,35.85,88.78,TRUE,6230.38,21806306,779.617,34.808,168.77,0.0190903,23463,20903184
819716,native,s11_5,scale_mid/relief_q3,TRUE,20000,153,3780,217.1,359.68,TRUE,3001.19,20107376,778.845,120.569,583.66,0.0740215,22259,20903184
822383,native,s3_1,scale_coarse/relief_q3,TRUE,60000,153,10363,203.18,89.6,TRUE,9625.5,206831326,737.489,341.474,1685.71,0.0191417,228849,188128656
822819,native,s2_4,scale_coarse/relief_q2,FALSE,60000,153,9449,109.43,NA,TRUE,9337.14,194624292,111.798,162.347,1086.01,0.0257131,216047,188128656
822892,native,s3_8,scale_coarse/relief_q3,FALSE,60000,153,10363,220.34,269.45,TRUE,9732.78,211467448,629.976,341.689,1727.21,0.0265265,234288,188128656
856861,native,s8_9,scale_fine/relief_q4,FALSE,15000,305,6096,270.29,82.98,TRUE,4646.41,12127951,1449.581,73.274,359.93,0.0584064,13410,11758041
876934,native,s6_7,scale_fine/relief_q2,TRUE,15000,305,6248,77.32,267.18,TRUE,4749.52,12672186,1498.49,46.141,207.36,0.0167451,13847,11758041
889063,native,s7_6,scale_fine/relief_q3,TRUE,10000,305,3871,172.56,254.15,TRUE,3004.74,5071853,866.254,53.081,232.47,0.0724509,5448,5225796
909480,native,s5_3,scale_fine/relief_q1,FALSE,15000,305,5334,29.62,87.79,TRUE,4380.44,10779263,953.618,85.508,317.64,0.0797191,11433,11758041
913363,native,s5_2,scale_fine/relief_q1,TRUE,15000,305,5486,63.17,265.42,TRUE,4461.21,11180419,1024.788,56.978,269.54,0.0406283,11935,11758041
932053,native,s6_9,scale_fine/relief_q2,FALSE,10000,305,3962,113.37,343.76,TRUE,2761.89,4285134,1200.152,55.162,303.59,0.0819477,4573,5225796
950222,native,s6_3,scale_fine/relief_q2,FALSE,10000,305,4420,84.99,85.19,TRUE,3374.61,6397357,1045.358,31.809,156.4,0.019164,6993,5225796
